run_number,format,original_size,compressed_size,compression_ratio,compression_time_ms,compression_speed_mbps
1,ZIP,630262450,630377934,1.0001832316045483,16971,35.416932980435206
2,ZIP,630262450,630377934,1.0001832316045483,17266,34.81165567593046
3,ZIP,630262450,630377934,1.0001832316045483,19179,31.339652452984758
4,ZIP,630262450,630377934,1.0001832316045483,17556,34.236543679257146
5,ZIP,630262450,630377934,1.0001832316045483,17525,34.29651293040957
6,ZIP,630262450,630377934,1.0001832316045483,17531,34.2855223496511
7,ZIP,630262450,630377934,1.0001832316045483,17774,33.81531139409258
8,ZIP,630262450,630377934,1.0001832316045483,17158,35.030936954325384
9,ZIP,630262450,630377934,1.0001832316045483,18591,32.329574683162846
10,ZIP,630262450,630377934,1.0001832316045483,16718,35.95279165698184
11,ZIP,630262450,630377934,1.0001832316045483,17124,35.099963688003484
12,ZIP,630262450,630377934,1.0001832316045483,16707,35.975276363477725
13,ZIP,630262450,630377934,1.0001832316045483,16713,35.962467863723276
14,ZIP,630262450,630377934,1.0001832316045483,16525,36.3720638704844
15,ZIP,630262450,630377934,1.0001832316045483,16711,35.966754308003104
16,ZIP,630262450,630377934,1.0001832316045483,16772,35.835678696203324
17,ZIP,630262450,630377934,1.0001832316045483,16759,35.864943962732156
18,ZIP,630262450,630377934,1.0001832316045483,16851,35.66920005714616
19,ZIP,630262450,630377934,1.0001832316045483,17028,35.29844529179286
20,ZIP,630262450,630377934,1.0001832316045483,16683,36.028429985493126
21,ZIP,630262450,630377934,1.0001832316045483,16697,35.9966616896387
22,ZIP,630262450,630377934,1.0001832316045483,16677,36.04049574604399
23,ZIP,630262450,630377934,1.0001832316045483,16828,35.71699024146282
24,ZIP,630262450,630377934,1.0001832316045483,16655,36.087339101287554
25,ZIP,630262450,630377934,1.0001832316045483,16545,36.32797290131579
26,ZIP,630262450,630377934,1.0001832316045483,16684,36.024642654349734
27,ZIP,630262450,630377934,1.0001832316045483,16629,36.14365076411971
28,ZIP,630262450,630377934,1.0001832316045483,16579,36.254386470014886
29,ZIP,630262450,630377934,1.0001832316045483,16624,36.15469387321261
30,ZIP,630262450,630377934,1.0001832316045483,16437,36.56598969236404
31,ZIP,630262450,630377934,1.0001832316045483,16718,35.95250502060541
32,ZIP,630262450,630377934,1.0001832316045483,17006,35.343993014910694
33,ZIP,630262450,630377934,1.0001832316045483,16575,36.26117462405443
34,ZIP,630262450,630377934,1.0001832316045483,16708,35.97373828882598
