run_number,format,total_size,average_size,min_size,max_size,median_size
1,PNG,630262377,6302623.77,6302606,6302640,6302623.0
1,JPG,305952226,3059522.26,3058856,3060090,3059525.5
1,WEBP,314576250,3145762.5,3145714,3146050,3145758.0
2,PNG,630262314,6302623.14,6302483,6302642,6302625.0
2,JPG,305957885,3059578.85,3058954,3060066,3059576.5
2,WEBP,314576970,3145769.7,3145714,3146056,3145758.0
3,PNG,630262390,6302623.9,6302608,6302638,6302624.0
3,JPG,305953565,3059535.65,3059196,3060099,3059527.5
3,WEBP,314576870,3145768.7,3145720,3146040,3145761.0
4,PNG,630262398,6302623.98,6302612,6302638,6302624.0
4,JPG,305952282,3059522.82,3058965,3060108,3059519.0
4,WEBP,314576032,3145760.32,3145724,3146026,3145755.0
5,PNG,630262499,6302624.99,6302609,6302639,6302625.0
5,JPG,305957266,3059572.66,3059054,3060178,3059559.0
5,WEBP,314576170,3145761.7,3145722,3146006,3145760.0
6,PNG,630262421,6302624.21,6302609,6302641,6302623.0
6,JPG,305958178,3059581.78,3058887,3060131,3059583.0
6,WEBP,314576360,3145763.6,3145718,3145994,3145760.0
7,PNG,630262362,6302623.62,6302606,6302642,6302623.0
7,JPG,305953581,3059535.81,3058847,3059993,3059555.0
7,WEBP,314576794,3145767.94,3145722,3146008,3145760.0
8,PNG,630262472,6302624.72,6302609,6302641,6302625.0
8,JPG,305954710,3059547.1,3059069,3059990,3059556.5
8,WEBP,314576044,3145760.44,3145728,3145792,3145762.0
9,PNG,630262525,6302625.25,6302612,6302639,6302625.5
9,JPG,305955880,3059558.8,3058951,3060069,3059554.0
9,WEBP,314576450,3145764.5,3145714,3146030,3145761.0
10,PNG,630262405,6302624.05,6302603,6302641,6302624.0
10,JPG,305958473,3059584.73,3059010,3060013,3059577.5
10,WEBP,314576554,3145765.54,3145716,3146020,3145758.0
