run_number,quality,total_size,average_size,min_size,max_size,median_size,compression_ratio
1,100,314577170,3145771.7,3145720,3146034,3145758.0,0.49912093521717066
1,90,64588726,645887.26,645506,646322,645905.0,0.10247910020172661
1,80,64588726,645887.26,645506,646322,645905.0,0.10247910020172661
1,70,64588726,645887.26,645506,646322,645905.0,0.10247910020172661
1,60,64588726,645887.26,645506,646322,645905.0,0.10247910020172661
1,50,64588726,645887.26,645506,646322,645905.0,0.10247910020172661
2,100,314576996,3145769.96,3145716,3146040,3145760.0,0.49912051659520723
2,90,64592720,645927.2,645468,646508,645916.0,0.10248540797525313
2,80,64592720,645927.2,645468,646508,645916.0,0.10248540797525313
2,70,64592720,645927.2,645468,646508,645916.0,0.10248540797525313
2,60,64592720,645927.2,645468,646508,645916.0,0.10248540797525313
2,50,64592720,645927.2,645468,646508,645916.0,0.10248540797525313
3,100,314576108,3145761.08,3145710,3145964,3145758.0,0.49911931751822364
3,90,64591294,645912.94,645438,646232,645879.0,0.10248318851633492
3,80,64591294,645912.94,645438,646232,645879.0,0.10248318851633492
3,70,64591294,645912.94,645438,646232,645879.0,0.10248318851633492
3,60,64591294,645912.94,645438,646232,645879.0,0.10248318851633492
3,50,64591294,645912.94,645438,646232,645879.0,0.10248318851633492
4,100,314577174,3145771.74,3145732,3146034,3145763.0,0.4991209249332965
4,90,64592452,645924.52,645442,646348,645922.0,0.10248500861015923
4,80,64592452,645924.52,645442,646348,645922.0,0.10248500861015923
4,70,64592452,645924.52,645442,646348,645922.0,0.10248500861015923
4,60,64592452,645924.52,645442,646348,645922.0,0.10248500861015923
4,50,64592452,645924.52,645442,646348,645922.0,0.10248500861015923
5,100,314576966,3145769.66,3145698,3146022,3145760.0,0.49912051255185796
5,90,64589758,645897.58,645404,646382,645903.0,0.10248071728989995
5,80,64589758,645897.58,645404,646382,645903.0,0.10248071728989995
5,70,64589758,645897.58,645404,646382,645903.0,0.10248071728989995
5,60,64589758,645897.58,645404,646382,645903.0,0.10248071728989995
5,50,64589758,645897.58,645404,646382,645903.0,0.10248071728989995
6,100,314576922,3145769.22,3145728,3146036,3145762.0,0.49912065101594966
6,90,64592404,645924.04,645368,646528,645916.0,0.10248495830589006
6,80,64592404,645924.04,645368,646528,645916.0,0.10248495830589006
6,70,64592404,645924.04,645368,646528,645916.0,0.10248495830589006
6,60,64592404,645924.04,645368,646528,645916.0,0.10248495830589006
6,50,64592404,645924.04,645368,646528,645916.0,0.10248495830589006
7,100,314576906,3145769.06,3145722,3146010,3145759.0,0.4991205575241299
7,90,64593654,645936.54,645536,646526,645922.0,0.10248692762271858
7,80,64593654,645936.54,645536,646526,645922.0,0.10248692762271858
7,70,64593654,645936.54,645536,646526,645922.0,0.10248692762271858
7,60,64593654,645936.54,645536,646526,645922.0,0.10248692762271858
7,50,64593654,645936.54,645536,646526,645922.0,0.10248692762271858
8,100,314576004,3145760.04,3145720,3146018,3145758.0,0.49911913904488237
8,90,64592936,645929.36,645506,646342,645934.0,0.10248579101634589
8,80,64592936,645929.36,645506,646342,645934.0,0.10248579101634589
8,70,64592936,645929.36,645506,646342,645934.0,0.10248579101634589
8,60,64592936,645929.36,645506,646342,645934.0,0.10248579101634589
8,50,64592936,645929.36,645506,646342,645934.0,0.10248579101634589
9,100,314576260,3145762.6,3145720,3146012,3145761.0,0.49911945732145185
9,90,64594706,645947.06,645486,646542,645944.0,0.10248858132065887
9,80,64594706,645947.06,645486,646542,645944.0,0.10248858132065887
9,70,64594706,645947.06,645486,646542,645944.0,0.10248858132065887
9,60,64594706,645947.06,645486,646542,645944.0,0.10248858132065887
9,50,64594706,645947.06,645486,646542,645944.0,0.10248858132065887
10,100,314576258,3145762.58,3145712,3146014,3145757.0,0.49911942959855343
10,90,64590536,645905.36,645540,646332,645911.0,0.10248195998880764
10,80,64590536,645905.36,645540,646332,645911.0,0.10248195998880764
10,70,64590536,645905.36,645540,646332,645911.0,0.10248195998880764
10,60,64590536,645905.36,645540,646332,645911.0,0.10248195998880764
10,50,64590536,645905.36,645540,646332,645911.0,0.10248195998880764
